Latitude,Longitude,Rainfall,MaxTemp,MinTemp
13.0,79.25,0.0,29.282347,20.790886
13.0,79.5,0.0,29.282347,20.790886
13.0,79.75,0.0,29.282347,20.790886
13.0,80.0,0.0,29.282347,20.790886
13.25,74.5,0.0,30.991877,17.69359
13.25,74.75,0.0,30.991877,17.69359
13.25,75.0,0.0,30.991877,17.69359
13.25,75.25,0.0,30.464025,16.78297
13.25,75.5,0.0,30.464025,16.78297
13.25,75.75,0.0,30.464025,16.78297
13.25,76.0,0.0,30.464025,16.78297
13.25,76.25,0.0,28.723316,15.742374
13.25,76.5,0.0,28.723316,15.742374
13.25,76.75,0.0,28.723316,15.742374
13.25,77.0,0.0,28.723316,15.742374
13.25,77.25,0.0,28.070284,16.071505
13.25,77.5,0.0,28.070284,16.071505
13.25,77.75,0.0,28.070284,16.071505
13.25,78.0,0.0,28.070284,16.071505
13.25,78.25,0.0,28.215948,17.509985
13.25,78.5,0.0,28.215948,17.509985
13.25,78.75,0.0,28.215948,17.509985
13.25,79.0,0.0,28.215948,17.509985
13.25,79.25,0.0,28.932398,19.910334
13.25,79.5,0.0,28.932398,19.910334
13.25,79.75,0.0,28.932398,19.910334
13.25,80.0,0.0,28.932398,19.910334
13.25,80.25,0.0,29.717474,21.577047
13.5,74.5,0.0,30.991877,17.69359
13.5,74.75,0.0,30.991877,17.69359
13.5,75.0,0.0,30.991877,17.69359
13.5,75.25,0.0,30.464025,16.78297
13.5,75.5,0.0,30.464025,16.78297
13.5,75.75,0.0,30.464025,16.78297
13.5,76.0,0.0,30.464025,16.78297
13.5,76.25,0.0,28.723316,15.742374
13.5,76.5,0.0,28.723316,15.742374
13.5,76.75,0.0,28.723316,15.742374
13.5,77.0,0.0,28.723316,15.742374
13.5,77.25,0.0,28.070284,16.071505
13.5,77.5,0.0,28.070284,16.071505
13.5,77.75,0.0,28.070284,16.071505
13.5,78.0,0.0,28.070284,16.071505
13.5,78.25,0.0,28.215948,17.509985
13.5,78.5,0.0,28.215948,17.509985
13.5,78.75,0.0,28.215948,17.509985
13.5,79.0,0.0,28.215948,17.509985
13.5,79.25,0.0,28.932398,19.910334
13.5,79.5,0.0,28.932398,19.910334
13.5,79.75,0.0,28.932398,19.910334
13.5,80.0,0.0,28.932398,19.910334
13.5,80.25,0.0,29.717474,21.577047
13.75,74.5,0.0,30.991877,17.69359
13.75,74.75,0.0,30.991877,17.69359
13.75,75.0,0.0,30.991877,17.69359
13.75,75.25,0.0,30.464025,16.78297
13.75,75.5,0.0,30.464025,16.78297
13.75,75.75,0.0,30.464025,16.78297
13.75,76.0,0.0,30.464025,16.78297
13.75,76.25,0.0,28.723316,15.742374
13.75,76.5,0.0,28.723316,15.742374
13.75,76.75,0.0,28.723316,15.742374
13.75,77.0,0.0,28.723316,15.742374
13.75,77.25,0.0,28.070284,16.071505
13.75,77.5,0.0,28.070284,16.071505
13.75,77.75,0.0,28.070284,16.071505
13.75,78.0,0.0,28.070284,16.071505
13.75,78.25,0.0,28.215948,17.509985
13.75,78.5,0.0,28.215948,17.509985
13.75,78.75,0.0,28.215948,17.509985
13.75,79.0,0.0,28.215948,17.509985
13.75,79.25,0.0,28.932398,19.910334
13.75,79.5,0.0,28.932398,19.910334
13.75,79.75,0.0,28.932398,19.910334
13.75,80.0,0.0,28.932398,19.910334
13.75,80.25,0.0,29.717474,21.577047
14.0,74.5,0.0,30.991877,17.69359
14.0,74.75,0.0,30.991877,17.69359
14.0,75.0,0.0,30.991877,17.69359
14.0,75.25,0.0,30.464025,16.78297
14.0,75.5,0.0,30.464025,16.78297
14.0,75.75,0.0,30.464025,16.78297
14.0,76.0,0.0,30.464025,16.78297
14.0,76.25,0.0,28.723316,15.742374
14.0,76.5,0.0,28.723316,15.742374
14.0,76.75,0.0,28.723316,15.742374
14.0,77.0,0.0,28.723316,15.742374
14.0,77.25,0.0,28.070284,16.071505
14.0,77.5,0.0,28.070284,16.071505
14.0,77.75,0.0,28.070284,16.071505
14.0,78.0,0.0,28.070284,16.071505
14.0,78.25,0.0,28.215948,17.509985
14.0,78.5,0.0,28.215948,17.509985
14.0,78.75,0.0,28.215948,17.509985
14.0,79.0,0.0,28.215948,17.509985
14.0,79.25,0.0,28.932398,19.910334
14.0,79.5,0.0,28.932398,19.910334
14.0,79.75,0.0,28.932398,19.910334
14.0,80.0,0.0,28.932398,19.910334
14.25,74.25,0.0,31.76469,18.712584
14.25,74.5,0.0,31.76469,18.712584
14.25,74.75,0.0,31.76469,18.712584
14.25,75.0,0.0,31.76469,18.712584
14.25,75.25,0.0,30.543926,16.450155
14.25,75.5,0.0,30.543926,16.450155
14.25,75.75,0.0,30.543926,16.450155
14.25,76.0,0.0,30.543926,16.450155
14.25,76.25,0.0,29.504189,15.380863
14.25,76.5,0.0,29.504189,15.380863
14.25,76.75,0.0,29.504189,15.380863
14.25,77.0,0.0,29.504189,15.380863
14.25,77.25,0.0,29.625368,16.833265
14.25,77.5,0.0,29.625368,16.833265
14.25,77.75,0.0,29.625368,16.833265
14.25,78.0,0.0,29.625368,16.833265
14.25,78.25,0.0,29.675177,18.829872
14.25,78.5,0.0,29.675177,18.829872
14.25,78.75,0.0,29.675177,18.829872
14.25,79.0,0.0,29.675177,18.829872
14.25,79.25,0.0,30.22757,20.714836
14.25,79.5,0.0,30.22757,20.714836
14.25,79.75,0.0,30.22757,20.714836
14.25,80.0,0.0,30.22757,20.714836
14.5,74.25,0.0,31.76469,18.712584
14.5,74.5,0.0,31.76469,18.712584
14.5,74.75,0.0,31.76469,18.712584
14.5,75.0,0.0,31.76469,18.712584
14.5,75.25,0.0,30.543926,16.450155
14.5,75.5,0.0,30.543926,16.450155
14.5,75.75,0.0,30.543926,16.450155
14.5,76.0,0.0,30.543926,16.450155
14.5,76.25,0.0,29.504189,15.380863
14.5,76.5,0.0,29.504189,15.380863
14.5,76.75,0.0,29.504189,15.380863
14.5,77.0,0.0,29.504189,15.380863
14.5,77.25,0.0,29.625368,16.833265
14.5,77.5,0.0,29.625368,16.833265
14.5,77.75,0.0,29.625368,16.833265
14.5,78.0,0.0,29.625368,16.833265
14.5,78.25,0.0,29.675177,18.829872
14.5,78.5,0.0,29.675177,18.829872
14.5,78.75,0.0,29.675177,18.829872
14.5,79.0,0.0,29.675177,18.829872
14.5,79.25,0.0,30.22757,20.714836
14.5,79.5,0.0,30.22757,20.714836
14.5,79.75,0.0,30.22757,20.714836
14.5,80.0,0.0,30.22757,20.714836
14.75,74.25,0.0,31.76469,18.712584
14.75,74.5,0.0,31.76469,18.712584
14.75,74.75,0.0,31.76469,18.712584
14.75,75.0,0.0,31.76469,18.712584
14.75,75.25,0.0,30.543926,16.450155
14.75,75.5,0.0,30.543926,16.450155
14.75,75.75,0.0,30.543926,16.450155
14.75,76.0,0.0,30.543926,16.450155
14.75,76.25,0.0,29.504189,15.380863
